vaalipiiri,puolue,"Suomen pitää olla edelläkävijä ilmastonmuutoksen vastaisessa taistelussa, vaikka se aiheuttaisi suomalaisille kustannuksia.",Suomen ei pidä kiirehtiä kieltämään uusien bensa- ja dieselautojen myyntiä.,Valtion pitää ohjata suomalaiset syömään vähemmän lihaa esimerkiksi verotuksen avulla.,Metsiä hakataan Suomessa liikaa.,"Kun valtion menoja ja tuloja tasapainotetaan, se on tehtävä mieluummin menoja karsimalla kuin veroja kiristämällä.","Sosiaaliturvaa tulee kehittää niin, että osa nykyisistä tuista korvataan kaikille työikäisille maksettavalla, vastikkeettomalla perustulolla.",Euron ulkopuolella Suomi pärjäisi paremmin.,Sosiaali- ja terveyspalvelut on tuotettava ensisijaisesti julkisina palveluina.,Vanhustenhoidon ulkoistamista yksityisille toimijoille tulee lisätä.,Parantumattomasti sairaalla on oltava oikeus eutanasiaan.,Sukupuolen korjaamisen tulee olla mahdollista myös alle 18-vuotiaille.,Viinit ja vahvat oluet pitää saada ruokakauppoihin.,Energiajuomien myyminen alle 15-vuotiaille on kiellettävä. ,"Nuuskan, purutupakan ja nenänuuskan matkustajatuonnin raja lasketaan 1000 grammasta 100 grammaan vuorokaudessa.","Perhevapaita pitää uudistaa niin, että vapaat jakautuvat tasan vanhempien kesken.",Oppivelvollisuus pitää ulottaa myös ammatilliseen koulutukseen ja lukioon.,"Koulujen kesälomia tulee siirtää kahdella viikolla niin, että ne alkavat kesäkuun puolivälissä ja päättyvät elokuun lopulla.",Korkeakoulujen määrää pitää vähentää ja vapautuneet voimavarat käyttää huippuopetukseen ja -tutkimukseen.,Maahanmuuttajien määrän kasvu on lisännyt turvattomuutta Suomessa.,Sosiaali- ja terveyspalveluiden rahoittaminen vaatii työperäisen maahanmuuton merkittävää lisäämistä.,Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,Vihapuhe tulee määritellä ja asettaa rangaistavaksi rikoslaissa.,Perinteiset arvot ovat hyvän elämän perusta.,Suomessa tarvitaan nyt koviakin keinoja järjestyksen ja tavallisten ihmisten puolustamiseksi.,"On oikein, että yhteiskunnassa jotkut ryhmät ovat paremmassa asemassa kuin toiset. ",Suomen lakien pitäisi nykyistä vapaammin antaa ihmisten tehdä omat ratkaisunsa ja kantaa niiden seuraukset.,Poliitikon velvollisuus on ennen kaikkea ajaa omien äänestäjiensä etuja.,"On olemassa pyhiä tai muuten yksilöä suurempia asioita, joita täytyy puolustaa silloinkin, kun se vaatii omien etujen uhraamista.","On oikein nähdä vaivaa sen eteen, ettei vahingossakaan loukkaa toista."
Uudenmaan vaalipiiri,Liike Nyt,4,4,2,1,5,4,2,2,2,5,2,5,5,4,2,2,4,4,4,4,4,5,5,4,1,5,1,5,5
Uudenmaan vaalipiiri,Liike Nyt,4,4,4,2,4,1,1,5,1,5,1,5,5,4,2,2,2,1,5,1,1,5,5,2,4,5,4,4,5
Uudenmaan vaalipiiri,Liike Nyt,4,4,2,2,4,2,2,2,2,5,1,5,4,4,4,4,5,4,5,4,4,4,4,4,4,2,5,4,2
Uudenmaan vaalipiiri,Liike Nyt,1,5,1,1,5,2,1,5,1,4,2,1,4,1,4,4,1,2,5,2,1,2,5,5,1,5,1,5,5
Uudenmaan vaalipiiri,Liike Nyt,4,5,1,1,4,2,2,2,1,4,1,5,5,5,4,4,4,1,5,4,4,2,4,4,1,2,1,5,5
Uudenmaan vaalipiiri,Liike Nyt,4,4,2,4,4,4,2,4,2,4,2,4,4,2,4,5,4,2,2,4,2,5,2,2,2,2,2,4,2
Uudenmaan vaalipiiri,Liike Nyt,5,2,4,2,5,1,1,4,1,,2,5,5,4,5,5,5,4,4,4,5,5,4,2,2,5,1,4,5
Uudenmaan vaalipiiri,Liike Nyt,5,4,5,5,2,5,1,4,2,1,1,4,2,5,4,4,5,2,1,5,2,2,1,1,4,1,1,5,4
Uudenmaan vaalipiiri,Liike Nyt,4,2,4,4,4,1,1,4,2,5,1,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
Uudenmaan vaalipiiri,Liike Nyt,4,4,2,2,2,,1,4,1,4,5,2,5,2,4,4,5,1,4,4,2,5,4,4,1,,2,4,5
Uudenmaan vaalipiiri,Liike Nyt,2,4,1,1,4,2,4,4,4,5,1,5,5,4,5,4,5,2,4,4,1,1,2,4,1,4,4,2,2
Uudenmaan vaalipiiri,Liike Nyt,4,5,2,2,5,1,1,4,2,4,1,5,5,4,4,4,4,1,4,2,4,2,4,2,2,5,1,4,4
Uudenmaan vaalipiiri,Sitoutumaton,5,1,5,5,2,4,1,4,1,5,1,1,5,5,4,5,,1,4,4,1,1,,2,1,2,4,5,1
Uudenmaan vaalipiiri,Liike Nyt,4,4,2,4,4,2,2,4,2,4,2,4,5,5,4,4,2,2,2,2,2,5,4,4,2,2,4,4,2
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,1,5,2,,5,2,5,1,5,4,2,1,4,,,5,1,4,1,5,5,4,,5,5,2
Helsingin vaalipiiri,Vasemmistoliitto,5,4,2,5,2,5,1,5,1,1,4,1,4,4,5,4,4,1,1,1,1,5,2,1,1,2,1,2,5
Helsingin vaalipiiri,Vihreät,5,1,5,5,2,5,1,5,1,5,5,5,4,1,5,5,4,2,1,5,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,4,4,1,2,5,2,4,4,2,5,1,2,4,2,2,4,2,1,5,1,4,1,5,2,1,4,2,5,4
Helsingin vaalipiiri,Eläinoikeuspuolue,5,1,5,5,1,5,1,5,1,5,5,1,4,5,2,4,4,1,1,2,2,2,2,1,1,1,1,5,5
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,2,5,2,5,1,4,5,2,4,2,5,5,4,2,1,4,1,5,2,1,1,2,2,5,5
Helsingin vaalipiiri,Piraattipuolue,5,4,5,5,5,5,1,4,1,5,1,4,2,,5,4,,2,2,4,2,,4,1,1,5,2,5,4
Helsingin vaalipiiri,Liberaalipuolue,4,4,2,2,5,4,4,2,4,5,2,5,1,1,2,1,,5,4,4,5,1,2,1,1,5,1,4,2
Helsingin vaalipiiri,Liberaalipuolue,5,2,4,4,4,5,4,4,2,5,4,5,2,1,4,4,4,4,2,5,5,2,2,1,2,4,1,4,4
Helsingin vaalipiiri,Liberaalipuolue,2,4,1,2,4,2,2,2,2,5,2,5,2,2,2,2,4,4,4,4,4,1,4,4,4,4,1,4,4
Helsingin vaalipiiri,Liberaalipuolue,2,4,1,4,4,5,2,2,2,5,4,5,2,2,4,1,2,2,2,4,5,1,2,2,4,4,4,4,4
Helsingin vaalipiiri,Seitsemän tähden liike,4,4,2,4,5,2,4,4,1,4,1,4,5,2,2,4,4,2,4,1,2,5,5,5,1,,1,5,5
Helsingin vaalipiiri,Seitsemän tähden liike,5,4,1,5,4,4,5,5,1,5,1,4,4,1,2,1,2,1,5,1,1,1,4,5,1,5,5,5,4
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,1,4,2,5,4,4,1,1,2,5,5,2,5,1,5,5,1,5,1,5,5,4,1,5,4,2
Helsingin vaalipiiri,Perussuomalaiset,1,5,2,1,5,4,5,4,2,4,2,5,1,1,1,2,,1,5,1,5,1,4,5,5,5,5,5,
Helsingin vaalipiiri,Vasemmistoliitto,5,2,5,5,2,5,2,5,1,5,2,2,5,4,5,5,,1,1,5,1,4,2,2,,2,1,4,5
Helsingin vaalipiiri,Seitsemän tähden liike,1,5,1,1,2,2,4,4,2,1,1,2,5,5,2,4,4,1,5,2,1,2,5,4,1,2,1,5,5
Helsingin vaalipiiri,Vihreät,5,1,5,5,1,5,1,5,1,5,5,4,4,4,5,5,5,1,1,4,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,1,4,1,5,4,2,4,1,5,2,1,1,1,2,2,5,1,1,1,4,5,4,5,5,4,2
Helsingin vaalipiiri,Vasemmistoliitto,4,4,2,2,1,4,4,5,1,5,4,2,5,4,4,5,2,1,2,4,1,5,2,1,1,2,4,4,1
Helsingin vaalipiiri,Piraattipuolue,5,2,5,5,1,5,1,5,1,5,5,5,1,1,5,1,2,1,1,5,4,1,1,1,1,5,1,5,1
Helsingin vaalipiiri,Kokoomus,2,5,1,1,5,2,1,2,4,5,1,5,2,2,4,4,5,5,5,4,5,1,4,5,5,5,4,5,4
Helsingin vaalipiiri,Vasemmistoliitto,5,2,4,5,2,5,2,5,1,4,4,2,5,4,4,5,2,2,2,5,1,5,2,2,1,2,4,4,4
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,1,5,2,5,1,5,5,4,4,2,5,5,2,2,1,4,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,2,4,1,2,4,1,5,5,1,5,2,5,2,2,1,4,4,2,5,1,4,1,4,5,4,5,2,4,2
Helsingin vaalipiiri,Perussuomalaiset,2,5,1,2,4,2,4,4,1,4,1,5,4,4,2,1,2,4,5,1,2,2,5,2,2,2,4,5,4
Helsingin vaalipiiri,Perussuomalaiset,2,5,2,4,4,4,5,2,4,5,1,5,2,1,4,2,2,2,5,2,5,1,4,5,4,4,4,4,5
Helsingin vaalipiiri,Vihreät,5,4,4,4,2,4,1,4,2,4,4,4,2,2,5,5,4,2,1,4,4,4,1,1,1,2,2,5,5
Helsingin vaalipiiri,Piraattipuolue,5,4,4,2,2,5,1,4,2,5,5,4,2,1,4,2,2,2,1,4,2,1,2,1,1,4,1,5,2
Helsingin vaalipiiri,Perussuomalaiset,1,4,1,2,4,2,4,4,2,1,1,4,5,2,1,1,1,2,5,1,2,1,5,4,4,1,5,5,4
Helsingin vaalipiiri,Vihreät,5,1,5,5,1,5,1,5,1,4,5,2,4,4,5,5,4,2,1,5,2,5,2,1,1,2,2,5,5
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,2,5,4,5,5,2,4,1,4,5,2,1,1,2,2,5,2,1,1,5,5,2,4,4,4,4
Helsingin vaalipiiri,Suomen Kommunistinen Puolue,4,5,2,,1,4,5,5,1,4,4,5,2,1,4,4,1,1,1,1,1,4,1,1,1,,5,4,4
Helsingin vaalipiiri,Piraattipuolue,4,4,4,2,2,5,2,5,2,4,2,4,5,2,5,2,1,2,4,1,2,4,4,4,1,4,2,4,2
Helsingin vaalipiiri,Perussuomalaiset,4,1,4,2,5,1,5,5,1,4,1,5,2,5,1,4,4,4,5,2,1,2,5,4,1,2,2,5,5
Helsingin vaalipiiri,Suomen Kommunistinen Puolue,5,5,1,5,1,5,1,5,1,1,4,5,1,1,5,4,1,1,1,1,1,5,5,5,1,1,5,1,5
Helsingin vaalipiiri,Suomen Kommunistinen Puolue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsingin vaalipiiri,Suomen Kommunistinen Puolue,5,1,5,5,1,2,5,5,1,5,5,5,2,2,4,4,5,1,1,5,1,5,4,2,1,4,4,2,5
Helsingin vaalipiiri,Sininen tulevaisuus,5,5,1,1,1,2,2,2,1,1,1,4,5,4,4,4,4,1,4,4,2,5,5,2,2,4,4,5,5
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,1,5,4,5,1,4,5,2,4,4,5,5,4,1,1,4,1,4,2,1,1,1,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,2,4,1,4,4,1,2,1,5,2,2,1,2,4,2,5,1,2,1,5,5,4,4,4,4,2
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,1,5,1,5,1,5,5,1,4,5,5,5,5,1,1,5,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Vihreät,5,4,2,4,4,4,1,4,2,4,2,5,2,2,2,2,5,2,2,5,2,5,4,2,1,2,4,5,4
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,2,5,1,5,1,5,4,1,4,5,5,1,1,2,1,4,1,5,1,1,1,4,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,1,5,1,1,5,4,2,5,4,5,1,5,1,1,1,2,5,5,5,4,1,2,5,5,5,5,5,5,5
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,1,5,2,5,1,4,5,2,4,4,5,5,,1,1,5,1,5,1,1,1,1,2,5,4
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,1,5,2,5,1,4,5,2,2,2,5,5,4,2,1,4,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Perussuomalaiset,1,5,2,1,4,1,5,4,2,4,1,4,5,1,1,1,4,1,5,1,2,1,5,5,4,4,2,5,2
Helsingin vaalipiiri,SDP,4,2,4,4,4,2,1,5,1,4,2,4,5,4,4,5,4,1,4,2,2,4,5,2,4,2,5,5,4
Helsingin vaalipiiri,SDP,5,2,4,2,2,2,1,4,1,4,4,2,4,4,4,5,4,2,2,5,2,2,1,1,1,1,1,4,5
Helsingin vaalipiiri,Kristillisdemokraatit,2,5,2,2,5,1,4,4,2,1,1,1,4,4,1,2,2,2,5,2,2,1,5,5,4,4,2,5,4
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,1,5,,5,1,5,5,5,1,1,5,1,1,1,1,5,1,5,5,1,1,5,1,5,1
Helsingin vaalipiiri,Kristillisdemokraatit,5,4,4,5,5,2,1,5,1,1,1,5,5,5,5,2,1,1,5,1,4,5,5,2,2,1,5,5,5
Helsingin vaalipiiri,Vasemmistoliitto,5,2,5,4,1,5,1,5,1,5,2,1,5,1,5,5,4,1,1,5,1,5,1,1,1,1,5,5,4
Helsingin vaalipiiri,Suomen Kommunistinen Puolue,5,2,5,4,1,4,5,5,1,4,5,4,5,4,5,5,2,1,1,1,1,4,1,1,1,1,1,2,2
Helsingin vaalipiiri,Vasemmistoliitto,4,5,1,2,1,5,2,5,1,4,5,4,4,2,4,2,1,1,1,2,1,5,2,1,1,4,5,2,5
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,1,5,1,5,1,4,5,4,2,1,5,5,4,1,1,5,1,5,2,1,1,1,4,5,5
Helsingin vaalipiiri,Vasemmistoliitto,5,1,4,5,1,5,,5,1,5,4,1,5,4,5,5,2,1,1,,2,4,1,2,2,1,4,,
Helsingin vaalipiiri,Suomen Kansa Ensin,1,5,2,1,4,1,5,4,1,4,1,5,4,2,1,4,1,2,5,1,2,1,5,5,2,4,5,5,1
Helsingin vaalipiiri,Sininen tulevaisuus,2,5,1,1,4,1,2,4,2,4,1,5,2,1,2,4,5,2,4,4,4,2,4,4,1,4,5,5,5
Helsingin vaalipiiri,Sininen tulevaisuus,2,4,2,4,4,4,2,2,2,4,4,2,4,2,2,4,2,2,2,2,2,2,4,2,1,4,1,5,4
Helsingin vaalipiiri,Itsenäisyyspuolue,4,4,2,4,2,4,5,5,1,4,2,4,1,5,2,4,2,2,4,2,1,4,5,2,1,2,2,4,4
Helsingin vaalipiiri,Kristillisdemokraatit,1,5,1,2,2,1,5,5,2,1,1,1,5,5,1,2,5,1,5,1,1,1,5,2,2,1,1,5,1
Helsingin vaalipiiri,Kristillisdemokraatit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsingin vaalipiiri,Kristillisdemokraatit,4,4,2,4,4,1,2,5,1,2,1,4,5,1,1,2,4,2,5,4,1,5,5,4,1,1,2,5,5
Helsingin vaalipiiri,Kristillisdemokraatit,,,,,4,2,,1,4,1,1,,5,,5,,4,,4,,,,5,5,1,,1,5,1
Helsingin vaalipiiri,Kristillisdemokraatit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsingin vaalipiiri,Kristillisdemokraatit,4,5,4,2,4,1,4,4,1,1,1,2,4,4,1,2,4,1,5,2,1,2,5,4,4,1,4,5,2
Helsingin vaalipiiri,Kristillisdemokraatit,4,4,2,2,4,4,2,5,2,2,1,4,4,5,2,4,4,4,4,4,1,5,5,2,2,2,2,4,5
Helsingin vaalipiiri,Vasemmistoliitto,5,2,4,5,1,5,1,5,1,5,5,4,5,2,5,5,4,1,1,4,1,5,1,2,1,4,1,4,5
Helsingin vaalipiiri,Vasemmistoliitto,5,2,4,4,1,5,2,5,1,5,4,4,5,4,5,5,5,1,2,5,1,4,4,2,1,2,1,4,5
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,5,2,5,1,5,1,5,2,2,5,5,5,5,5,1,1,4,1,5,1,1,1,1,2,5,5
Helsingin vaalipiiri,Vihreät,5,2,4,5,2,4,2,4,1,4,2,4,5,4,4,5,4,2,4,4,4,4,1,2,1,2,1,5,5
Helsingin vaalipiiri,Kristillisdemokraatit,4,4,4,2,4,1,2,2,2,1,1,4,1,4,4,2,5,2,4,5,5,1,5,2,1,4,2,5,4
Helsingin vaalipiiri,Kristillisdemokraatit,2,4,4,2,4,2,,4,2,1,2,2,2,5,2,4,4,2,4,4,,,5,4,2,,4,4,4
Helsingin vaalipiiri,Kommunistinen Työväenpuolue,2,2,1,1,1,5,5,5,1,1,1,4,4,2,2,1,1,1,1,1,1,5,1,2,1,1,1,5,5
Helsingin vaalipiiri,RKP,5,1,4,4,4,2,1,5,1,5,4,2,5,2,5,2,4,2,1,4,2,5,1,1,1,1,1,4,5
Helsingin vaalipiiri,RKP,1,5,5,5,4,1,1,5,5,1,2,5,5,5,5,4,5,1,1,5,4,5,5,1,1,1,1,5,5
Helsingin vaalipiiri,RKP,4,4,1,1,5,2,1,4,2,4,2,5,5,2,4,1,5,1,2,2,4,5,2,2,4,2,4,4,4
Helsingin vaalipiiri,RKP,4,4,2,2,4,4,1,5,2,5,1,4,2,,4,4,2,1,4,2,5,5,5,2,2,1,2,2,2
Helsingin vaalipiiri,RKP,4,4,1,4,2,1,1,5,2,2,1,2,5,5,4,2,5,2,1,5,4,1,5,1,4,4,1,4,5
Helsingin vaalipiiri,RKP,5,1,5,4,2,4,1,5,1,5,5,5,5,2,5,5,2,2,2,5,5,4,4,2,1,4,1,5,4
Helsingin vaalipiiri,RKP,5,1,5,5,5,5,1,4,1,5,4,5,4,1,5,5,5,1,1,5,2,2,2,1,2,5,1,5,5
Helsingin vaalipiiri,RKP,4,2,2,4,2,4,1,4,2,5,2,1,5,4,5,5,5,2,2,5,4,5,4,4,4,1,1,1,5
Helsingin vaalipiiri,RKP,5,4,4,4,4,4,1,4,2,4,4,2,4,4,4,4,4,2,2,4,4,4,2,4,1,2,1,2,4
Helsingin vaalipiiri,RKP,5,4,2,2,5,2,1,4,2,4,2,4,2,2,4,4,4,4,2,4,5,5,2,2,2,4,4,4,5
Helsingin vaalipiiri,RKP,4,4,4,2,4,2,2,4,2,4,4,5,4,2,5,4,2,4,2,4,2,4,2,2,2,4,2,4,4
Helsingin vaalipiiri,RKP,4,4,1,1,5,4,1,4,2,5,1,5,4,5,5,5,4,5,4,5,4,5,4,2,5,4,,5,2
Helsingin vaalipiiri,RKP,4,4,2,2,4,2,1,4,2,4,4,4,2,2,5,2,4,2,1,4,4,4,2,2,2,4,2,2,2
Helsingin vaalipiiri,Kokoomus,5,2,4,4,4,2,1,2,4,4,4,5,4,2,5,2,4,4,4,5,5,5,2,2,2,2,4,4,4
Helsingin vaalipiiri,Kokoomus,5,5,1,1,5,1,1,4,1,5,1,5,4,1,5,2,5,2,5,5,4,5,5,4,4,5,1,5,5
Helsingin vaalipiiri,Kokoomus,4,2,4,2,5,1,2,2,4,4,5,5,2,1,5,2,5,4,2,4,5,4,4,4,4,2,2,4,5
Helsingin vaalipiiri,Kokoomus,4,4,1,2,5,4,2,2,2,4,1,5,2,2,2,4,2,1,5,4,5,1,5,5,4,4,1,5,4
Helsingin vaalipiiri,Kokoomus,4,5,2,2,5,1,1,2,4,2,2,2,5,5,2,2,4,5,4,4,4,4,5,4,,4,4,5,4
Helsingin vaalipiiri,Kokoomus,4,4,2,4,4,2,2,2,2,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,,4,2,4,4
Helsingin vaalipiiri,Kokoomus,4,4,2,4,4,4,2,2,2,5,4,5,2,1,4,1,4,5,4,5,5,2,2,2,4,4,2,5,2
Helsingin vaalipiiri,Keskusta,4,4,4,2,2,5,2,4,2,5,4,2,5,1,1,4,2,1,4,2,1,4,4,2,4,2,1,4,4
Helsingin vaalipiiri,Kokoomus,2,4,2,2,4,2,2,2,2,1,1,4,5,5,4,2,,,4,4,4,,4,2,2,2,4,,4
Helsingin vaalipiiri,Kokoomus,4,4,4,4,5,1,1,2,4,5,2,5,4,2,4,2,5,2,4,5,5,4,2,2,4,5,2,4,4
Helsingin vaalipiiri,Kokoomus,4,5,4,2,5,1,2,4,2,5,5,5,2,1,5,1,5,2,2,4,5,5,4,2,4,4,1,5,5
Helsingin vaalipiiri,Kokoomus,5,4,4,2,5,1,1,4,2,2,1,5,2,5,4,1,4,2,4,4,5,4,4,4,1,4,2,5,5
Helsingin vaalipiiri,Kokoomus,5,4,4,2,4,1,1,4,2,4,4,5,2,1,4,1,4,5,2,5,5,4,4,2,4,5,2,5,5
Helsingin vaalipiiri,Kokoomus,2,4,2,1,5,5,1,2,2,5,1,5,5,1,5,1,5,5,4,4,2,5,4,1,5,4,5,5,4
Helsingin vaalipiiri,Kokoomus,4,4,2,2,4,1,1,2,2,2,4,4,2,5,2,2,4,2,4,4,5,4,5,4,1,4,2,4,4
Helsingin vaalipiiri,Vasemmistoliitto,5,1,5,4,1,5,2,5,1,5,4,1,5,2,5,5,4,1,4,2,1,4,4,2,1,1,2,5,5
Helsingin vaalipiiri,Vihreät,5,1,5,5,2,5,1,4,2,5,5,2,2,2,5,5,5,2,2,5,2,5,2,1,1,2,1,4,4
Helsingin vaalipiiri,Vihreät,5,1,5,5,1,5,2,4,1,5,4,2,2,2,5,4,5,4,1,5,4,2,1,1,2,5,1,5,5
Helsingin vaalipiiri,Kansalaispuolue,2,5,4,4,2,5,5,5,1,5,2,2,5,,4,2,4,,5,1,1,1,4,2,1,,1,5,5
Helsingin vaalipiiri,SDP,5,1,4,5,1,1,1,5,1,1,5,1,5,1,5,5,1,1,1,5,1,5,1,1,1,1,1,1,5
Helsingin vaalipiiri,SDP,5,2,5,4,2,2,1,4,2,4,5,2,4,4,5,5,4,4,1,5,2,5,1,,1,,2,4,4
Helsingin vaalipiiri,SDP,5,4,4,4,2,4,1,5,1,4,2,2,5,4,4,5,2,2,2,4,2,4,4,1,1,1,1,5,5
Helsingin vaalipiiri,SDP,4,2,4,4,2,2,2,5,1,2,2,2,5,1,5,5,4,2,4,4,1,4,4,2,1,2,2,,4
Helsingin vaalipiiri,SDP,5,1,5,4,1,2,,5,1,2,5,1,5,2,5,5,4,2,1,5,1,5,1,4,1,2,2,5,5
Helsingin vaalipiiri,SDP,4,2,4,2,2,2,1,4,1,2,2,2,4,2,4,5,2,4,2,4,2,4,2,2,2,2,2,5,4
Helsingin vaalipiiri,SDP,4,4,2,4,2,4,2,4,1,4,2,2,2,4,4,2,4,2,2,2,1,4,4,2,2,1,4,4,4
Helsingin vaalipiiri,SDP,5,5,1,,1,2,1,5,1,1,4,2,2,1,5,5,2,5,4,1,1,5,1,1,1,1,4,4,4
Helsingin vaalipiiri,SDP,5,2,2,2,2,2,1,4,2,5,2,5,2,2,4,5,4,2,2,5,1,5,1,1,1,2,1,5,4
Helsingin vaalipiiri,SDP,5,4,2,2,2,1,1,5,2,5,4,1,2,5,2,5,2,2,1,2,1,4,4,1,2,4,1,4,4
Helsingin vaalipiiri,SDP,5,1,5,4,1,4,1,5,1,5,,4,5,,5,5,,1,1,5,1,5,1,1,1,1,1,5,5
Helsingin vaalipiiri,SDP,5,2,4,2,1,,,5,1,4,2,1,4,,4,5,2,,2,4,1,4,,2,2,,,5,5
Helsingin vaalipiiri,SDP,5,2,5,5,1,5,4,5,1,2,4,1,4,4,4,5,4,1,1,4,1,4,4,4,1,2,4,4,5
Helsingin vaalipiiri,Keskusta,4,,2,2,5,4,1,5,2,5,2,2,4,4,5,4,5,1,2,4,,5,2,1,1,4,1,5,5
Helsingin vaalipiiri,Keskusta,2,5,2,2,4,4,2,2,2,4,4,5,5,2,4,4,2,2,4,4,2,4,4,2,2,4,4,4,2
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,4,5,2,5,1,1,5,2,2,2,5,5,4,2,1,4,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Kokoomus,5,2,4,4,5,2,2,4,2,5,2,5,2,2,5,2,4,4,2,5,5,5,4,4,2,4,2,5,5
Helsingin vaalipiiri,Keskusta,4,5,1,1,4,2,1,4,2,5,4,5,4,5,5,4,2,1,4,4,2,4,2,2,4,4,4,5,5
Helsingin vaalipiiri,Keskusta,4,,1,1,4,4,4,4,4,1,1,1,5,5,4,4,2,2,4,4,1,1,5,4,4,2,4,5,5
Helsingin vaalipiiri,Keskusta,5,4,2,2,4,2,2,5,2,4,2,2,4,4,4,4,4,2,4,4,2,4,5,4,1,2,1,2,5
Helsingin vaalipiiri,Keskusta,5,4,2,2,5,4,2,4,2,5,2,4,5,2,5,4,4,2,4,4,1,4,2,4,2,2,4,4,4
Helsingin vaalipiiri,Keskusta,5,2,4,2,4,2,4,4,2,,2,4,4,2,4,4,4,2,4,2,1,2,4,4,2,4,4,5,
Helsingin vaalipiiri,Keskusta,5,5,5,1,2,5,4,4,2,1,1,1,5,1,4,4,5,1,4,5,2,1,5,4,1,1,1,5,5
Helsingin vaalipiiri,Keskusta,5,4,2,1,2,4,1,4,2,4,1,4,5,4,2,5,5,2,4,4,1,4,4,2,1,4,1,5,4
Helsingin vaalipiiri,Liike Nyt,5,2,5,2,4,2,2,4,2,5,4,5,5,2,4,4,4,2,2,4,2,4,2,2,2,2,2,4,4
Helsingin vaalipiiri,Liike Nyt,2,2,2,2,5,2,2,2,4,4,2,5,2,1,4,5,4,1,4,4,2,4,4,2,2,4,4,4,4
Helsingin vaalipiiri,Liike Nyt,4,2,,2,4,4,2,4,2,4,,5,5,2,2,2,4,2,4,,4,4,4,,2,,2,,4
Helsingin vaalipiiri,Liike Nyt,4,2,4,4,4,1,2,5,1,5,1,5,5,2,2,5,4,2,4,4,2,4,4,4,1,1,1,4,5
Helsingin vaalipiiri,Vasemmistoliitto,5,2,5,5,1,5,2,5,1,5,5,2,4,1,4,5,4,2,2,4,1,4,2,2,1,4,2,4,5
Helsingin vaalipiiri,Liike Nyt,4,5,1,4,5,2,2,5,1,5,1,5,5,2,1,1,4,1,5,4,4,5,4,5,4,2,5,5,4
Helsingin vaalipiiri,Liike Nyt,5,2,4,,4,4,1,4,2,2,2,5,4,2,4,2,4,1,2,1,,5,4,1,2,4,4,4,5
Helsingin vaalipiiri,Liike Nyt,4,4,4,4,4,2,2,5,1,5,2,5,5,1,5,5,5,4,5,4,4,4,2,2,1,4,2,5,4
Helsingin vaalipiiri,Liike Nyt,1,5,1,2,5,2,4,5,1,5,1,2,5,5,2,1,5,1,5,4,2,4,5,5,1,2,2,4,5
Helsingin vaalipiiri,Liike Nyt,4,2,4,4,5,2,1,2,2,4,2,5,4,1,4,2,2,4,2,4,5,5,2,2,4,4,1,4,5
Helsingin vaalipiiri,Vihreät,5,2,5,5,2,5,1,5,1,5,5,4,4,2,5,2,2,2,1,4,2,5,1,1,1,4,4,5,5
Helsingin vaalipiiri,Vihreät,5,1,5,5,1,5,1,5,1,5,5,2,1,2,5,1,5,4,1,5,4,5,2,4,1,2,1,5,5
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,1,5,2,5,1,5,5,2,2,2,5,5,4,2,1,4,1,5,1,1,1,2,1,5,5
Helsingin vaalipiiri,Feministinen puolue,5,2,5,5,1,5,2,5,1,5,5,2,4,2,5,5,4,1,1,4,1,5,1,1,1,2,1,5,5
